dims_op_pl_eoweb1_XXXXB00000000295446013529	E-SAR	2003-03-13 11:33:37.000	04	Terra-SAR simulation	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001052482279725/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((-0.10365655 52.127472, -0.13291883 52.078949, -0.08670473 52.068369, -0.057399232 52.116881, -0.10365655 52.127472))	2003-03-13 11:34:23.000	2003-03-13 11:35:24.000	2003-05-09 14:08:53.000	2012-05-25 17:15:06.896
dims_op_pl_eoweb1_XXXXB00000000295446013523	E-SAR	2003-04-04 14:04:53.000	01	E-SAR full resolution	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001052152984255/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((-2.0198874 39.078695, -2.1429603 39.056691, -2.1343293 39.027428, -2.0113049 39.049422, -2.0198874 39.078695))	2003-04-04 14:05:28.000	2003-04-04 14:07:23.000	2003-05-05 18:41:33.000	2012-05-25 17:15:05.765
dims_op_pl_eoweb1_XXXXB00000000295446013577	E-SAR	2003-04-02 15:21:27.000	01	full resolution	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001051626531158/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((-2.0193522 39.078538, -2.1430323 39.056429, -2.1344495 39.027325, -2.0108173 39.049424, -2.0193522 39.078538))	2003-04-02 15:22:05.000	2003-04-02 15:24:04.000	2003-04-29 16:50:00.000	2012-05-25 17:15:31.054
dims_op_pl_eoweb1_XXXXB00000000295446013585	E-SAR	2003-03-13 11:22:29.000	04	Terra-SAR simulation	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001052481800742/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((-0.10336297 52.127798, -0.1333087 52.078392, -0.08710121 52.067761, -0.05711156 52.117155, -0.10336297 52.127798))	2003-03-13 11:23:14.000	2003-03-13 11:24:18.000	2003-05-09 14:01:39.000	2012-05-25 17:15:30.068
dims_op_pl_eoweb1_XXXXB00000000295446013569	E-SAR	2002-05-08 09:46:32.000	05	Terra SAR (strip), I- Q-Kanal Shift	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001050410235028/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((13.52853 53.872808, 13.379906 53.875101, 13.378612 53.844561, 13.527128 53.84227, 13.52853 53.872808))	2002-05-08 09:47:16.000	2002-05-08 09:49:02.000	2003-04-15 14:36:17.000	2012-05-25 17:15:49.964
dims_op_pl_eoweb1_XXXXB00000000295446013565	E-SAR	2002-05-08 09:22:05.000	02	full resolution, I- Q-Kanal Shift	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001051168047477/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((13.545449 53.871211, 13.383001 53.873772, 13.381722 53.844143, 13.544055 53.841584, 13.545449 53.871211))	2002-05-08 09:22:34.000	2002-05-08 09:24:27.000	2003-04-24 09:06:17.000	2012-05-25 17:15:51.273
dims_op_pl_eoweb1_XXXXB00000000295446013563	E-SAR	2003-04-02 10:12:27.000	01	E-SAR full resolution	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001051191868683/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((-2.019795 39.077754, -2.1415105 39.055957, -2.133053 39.027328, -2.0113842 39.049116, -2.019795 39.077754))	2003-04-02 10:13:03.000	2003-04-02 10:14:54.000	2003-04-24 15:43:10.000	2012-05-25 17:15:51.150
dims_op_pl_eoweb1_XXXXB00000000295446013535	E-SAR	2003-04-04 13:03:13.000	01	full resolution	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001051625876220/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((-2.0129302 39.079799, -2.1344287 39.058371, -2.1258519 39.028892, -2.0044012 39.050311, -2.0129302 39.079799))	2003-04-04 13:03:43.000	2003-04-04 13:05:37.000	2003-04-29 16:44:49.000	2012-05-25 17:16:46.528
dims_op_pl_eoweb1_XXXXB00000000295446013559	E-SAR	2003-03-11 11:18:30.000	06	TerraSAR spot	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001051624934713/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((-3.8249314 42.055608, -3.8049154 42.004136, -3.765507 42.012647, -3.785494 42.064125, -3.8249314 42.055608))	2003-03-11 11:19:07.000	2003-03-11 11:20:10.000	2003-04-29 15:59:01.000	2012-05-25 17:16:47.059
dims_op_pl_eoweb1_XXXXB00000000295446013533	E-SAR	2002-08-26 11:02:34.000	03	Demo	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000001052298799751/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((11.250382 48.088846, 11.314325 48.048978, 11.343158 48.06973, 11.279212 48.109614, 11.250382 48.088846))	2002-08-26 11:03:31.000	2002-08-26 11:04:38.000	2003-05-07 11:12:07.000	2012-05-25 17:16:46.864
dims_op_pl_eoweb1_XXXXB00000000295446013581	E-SAR	2007-03-20 11:55:56.000	01	AWG94MHZ SEA ICE - C-band HV-HH	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000000162556775658/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((5.0667567 80.414971, 5.067579 80.549644, 4.8926663 80.549629, 4.894279 80.414956, 5.0667567 80.414971))	2007-03-20 11:56:39.000	2007-03-20 11:59:22.000	2008-03-05 10:09:00.000	2012-05-25 17:17:36.130
dims_op_pl_eoweb1_XXXXB00000000295446013583	E-SAR	2007-03-18 14:38:55.000	04	AWG94MHZ SEA ICE - C-band VH-VV	AIRRS.RGI:/dims_op_pl_dfd_XXXXB00000000145094113723/dims_op_pl_dfd_//AIRRS.RGI	POLYGON((24.667084 78.988223, 24.93403 79.09313, 24.797024 79.105639, 24.53107 79.000613, 24.667084 78.988223))	2007-03-18 14:46:11.000	2007-03-18 14:48:30.000	2008-03-07 09:42:26.000	2012-05-25 17:17:36.621
